No.,Kode Provinsi,Nama Provinsi,Tahun,Konsumsi Protein (gram/kap/hari)
141,15,Jambi,2022,60.70
142,16,Sumatera Selatan,2022,65.20
143,17,Bengkulu,2022,60.30
144,18,Lampung,2022,57.70
145,19,Kepulauan Bangka Belitung,2022,67.60
146,21,Kepulauan Riau,2022,64.70
147,31,DKI Jakarta,2022,68.20
148,32,Jawa Barat,2022,63.60
149,33,Jawa Tengah,2022,57.70
150,34,DI Yogyakarta,2022,62.60
151,35,Jawa Timur,2022,60.00
152,36,Banten,2022,69.30
153,51,Bali,2022,61.40
154,52,Nusa Tenggara Barat,2022,74.80
155,53,Nusa Tenggara Timur,2022,56.40
156,61,Kalimantan Barat,2022,58.20
157,62,Kalimantan Tengah,2022,65.00
158,63,Kalimantan Selatan,2022,68.00
159,64,Kalimantan Timur,2022,56.40
160,65,Kalimantan Utara,2022,59.70
161,71,Sulawesi Utara,2022,68.10
162,72,Sulawesi Tengah,2022,58.10
163,73,Sulawesi Selatan,2022,64.20
164,74,Sulawesi Tenggara,2022,60.40
165,75,Gorontalo,2022,57.10
166,76,Sulawesi Barat,2022,61.40
167,81,Maluku,2022,52.90
168,82,Maluku Utara,2022,54.80
169,91,Papua Barat,2022,55.30
170,94,Papua,2022,45.10
171,11,Aceh,2023,61.10
172,12,Sumatera Utara,2023,62.90
173,13,Sumatera Barat,2023,58.70
174,14,Riau,2023,60.00
175,15,Jambi,2023,59.50
176,16,Sumatera Selatan,2023,65.10
177,17,Bengkulu,2023,60.30
178,18,Lampung,2023,60.10
179,19,Kepulauan Bangka Belitung,2023,66.40
180,21,Kepulauan Riau,2023,66.50
181,31,DKI Jakarta,2023,70.60
182,32,Jawa Barat,2023,63.40
183,33,Jawa Tengah,2023,59.70
184,34,DI Yogyakarta,2023,63.80
185,35,Jawa Timur,2023,60.70
186,36,Banten,2023,66.90
187,51,Bali,2023,65.90
188,52,Nusa Tenggara Barat,2023,76.10
189,53,Nusa Tenggara Timur,2023,54.50
190,61,Kalimantan Barat,2023,58.60
191,62,Kalimantan Tengah,2023,64.00
192,63,Kalimantan Selatan,2023,67.40
193,64,Kalimantan Timur,2023,65.70
194,65,Kalimantan Utara,2023,62.10
195,71,Sulawesi Utara,2023,65.20
196,72,Sulawesi Tengah,2023,59.00
197,73,Sulawesi Selatan,2023,64.10
198,74,Sulawesi Tenggara,2023,61.40
199,75,Gorontalo,2023,58.50
200,76,Sulawesi Barat,2023,59.90
201,81,Maluku,2023,52.90
202,82,Maluku Utara,2023,52.70
203,91,Papua Barat,2023,54.60
204,94,Papua,2023,46.80
205,11,Aceh,2024,60.6
206,12,Sumatera Utara,2024,62.1
207,13,Sumatera Barat,2024,57.8
208,14,Riau,2024,59.2
209,15,Jambi,2024,58.7
210,16,Sumatera Selatan,2024,66.4
211,17,Bengkulu,2024,60.6
212,18,Lampung,2024,58
213,19,Kepulauan Bangka Belitung,2024,65.7
214,21,Kepulauan Riau,2024,67.1
215,31,DKI Jakarta,2024,68.2
216,32,Jawa Barat,2024,62.3
217,33,Jawa Tengah,2024,59.2
218,34,DI Yogyakarta,2024,62.3
219,35,Jawa Timur,2024,60.5
220,36,Banten,2024,66
221,51,Bali,2024,67.2
222,52,Nusa Tenggara Barat,2024,74.5
223,53,Nusa Tenggara Timur,2024,55.1
224,61,Kalimantan Barat,2024,58.5
225,62,Kalimantan Tengah,2024,61.8
226,63,Kalimantan Selatan,2024,69.2
227,64,Kalimantan Timur,2024,64.3
228,65,Kalimantan Utara,2024,61.7
229,71,Sulawesi Utara,2024,63.6
230,72,Sulawesi Tengah,2024,60.6
231,73,Sulawesi Selatan,2024,63.6
232,74,Sulawesi Tenggara,2024,61
233,75,Gorontalo,2024,58.1
234,76,Sulawesi Barat,2024,60
235,81,Maluku,2024,52.2
236,82,Maluku Utara,2024,52.1
237,92,Papua Barat,2024,51.8
238,91,Papua,2024,54.7
239,96,Papua Barat Daya,2024,57.8
240,94,Papua Tengah,2024,43.5
241,95,Papua Pegunungan,2024,39.9
242,93,Papua Selatan,2024,51.6
243,11,Aceh,2025,61.6
244,12,Sumatera Utara,2025,63.3
245,13,Sumatera Barat,2025,60.2
246,14,Riau,2025,60.1
247,15,Jambi,2025,60.3
248,16,Sumatera Selatan,2025,66.9
249,17,Bengkulu,2025,61.9
250,18,Lampung,2025,59
251,19,Kepulauan Bangka Belitung,2025,67
252,21,Kepulauan Riau,2025,69.8
253,31,DKI Jakarta,2025,68.2
254,32,Jawa Barat,2025,63.5
255,33,Jawa Tengah,2025,60.3
256,34,DI Yogyakarta,2025,65
257,35,Jawa Timur,2025,62.1
258,36,Banten,2025,65.3
259,51,Bali,2025,66.5
260,52,Nusa Tenggara Barat,2025,74.7
261,53,Nusa Tenggara Timur,2025,56.7
262,61,Kalimantan Barat,2025,59.1
263,62,Kalimantan Tengah,2025,65
264,63,Kalimantan Selatan,2025,69.5
265,64,Kalimantan Timur,2025,63.8
